S. No.,Date_Received,Message_body,Label
586,01-03-21,I said its okay. Sorry,Non-Spam
587,28-11-21,So what u doing today?,Non-Spam
588,07-05-21,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),Non-Spam
589,07-10-21,JADE ITS PAUL. Y DIDN’T U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,Non-Spam
590,10-11-21,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",Non-Spam
591,02-06-21,You are gorgeous! keep those pix cumming :) thank you!,Non-Spam
592,05-12-21,Yar... I tot u knew dis would happen long ago already.,Non-Spam
593,16-11-21,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,Non-Spam
594,27-06-21,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,Non-Spam
595,06-10-21,I'm fine. Hope you are good. Do take care.,Non-Spam
596,28-03-21,Hey come online! Use msn... We are all there,Non-Spam
597,07-10-21,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,Non-Spam
598,25-07-21,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,Non-Spam
599,22-09-21,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,Non-Spam
600,08-01-21,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,Spam
601,19-10-21,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,Spam
602,04-09-21,"A few people are at the game, I'm at the mall with iouri and kaila",Non-Spam
603,07-04-21,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,Spam
604,18-04-21,I want to see your pretty pussy...,Non-Spam
605,24-01-21,Yup ok...,Non-Spam
606,18-06-21,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",Non-Spam
607,16-08-21,I want  &lt;#&gt;  rs da:)do you have it?,Non-Spam
608,28-03-21,"What i mean was i left too early to check, cos i'm working a 9-6.",Non-Spam
609,16-05-21,Why didn't u call on your lunch?,Non-Spam
610,25-02-21,I'm vivek:)i got call from your number.,Non-Spam
611,15-12-21,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",Non-Spam
612,09-08-21,Doing my masters. When will you buy a bb cos i have for sale and how's bf,Non-Spam
613,05-02-21,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,Non-Spam
614,26-07-21,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,Non-Spam
615,21-11-21,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",Spam
616,07-11-21,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,Non-Spam
617,22-12-21,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,Non-Spam
618,27-10-21,I am in bus on the way to calicut,Non-Spam
619,01-05-21,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",Spam
620,02-09-21,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,Spam
621,03-11-21,I'm already back home so no probably not,Non-Spam
622,15-07-21,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",Non-Spam
623,11-07-21,Wrong phone! This phone! I answer this one but assume the other is people i don't well,Non-Spam
624,23-07-21,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,Non-Spam
625,07-01-21,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",Non-Spam
626,29-10-21,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,Non-Spam
627,04-01-21,Ü go home liao? Ask dad to pick me up at 6...,Non-Spam
628,26-10-21,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,Non-Spam
629,28-10-21,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,Non-Spam
630,08-11-21,G wants to know where the fuck you are,Non-Spam
631,15-06-21,K..k.:)congratulation ..,Non-Spam
632,04-11-21,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",Non-Spam
633,27-09-21,Hey do you want anything to buy:),Non-Spam
634,12-10-21,Once free call me sir.,Non-Spam
635,15-04-21,Match started.india  &lt;#&gt;  for 2,Non-Spam
636,12-04-21,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",Non-Spam
637,09-06-21,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",Spam
638,11-02-21,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",Spam
639,10-03-21,Just hopeing that wasn‘t too pissed up to remember and has gone off to his sisters or something!,Non-Spam
640,28-05-21,Wanna do some art?! :D,Non-Spam
641,08-09-21,"Oh yes, why is it like torture watching england?",Non-Spam
642,18-07-21,Ok... Let u noe when i leave my house.,Non-Spam
643,20-09-21,We can go 4 e normal pilates after our intro...  ,Non-Spam
644,05-10-21,Oh yah... We never cancel leh... Haha ,Non-Spam
645,22-07-21,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,Non-Spam
646,25-09-21,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",Non-Spam
647,25-08-21,"G says you never answer your texts, confirm/deny",Non-Spam
648,07-07-21,Re your call; You didn't see my facebook huh?,Non-Spam
649,12-02-21,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,Non-Spam
650,01-08-21,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",Spam
651,10-08-21,"Just dropped em off, omw back now",Non-Spam
652,29-01-21,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,Non-Spam
653,08-04-21,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,Non-Spam
654,16-06-21,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",Spam
655,13-11-21,I am on the way to tirupur.,Non-Spam
656,31-07-21,Love that holiday Monday feeling even if I have to go to the dentists in an hour,Non-Spam
657,21-03-21,WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,Non-Spam
658,15-07-21,Will do. Have a good day,Non-Spam
659,21-10-21,"I'm in solihull, | do you want anything?",Non-Spam
660,20-02-21,Then anything special?,Non-Spam
661,24-01-21,Will you come online today night,Non-Spam
662,04-02-21,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,Spam
663,15-09-21,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",Non-Spam
664,13-08-21,I;m reaching in another 2 stops.,Non-Spam
665,16-06-21,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,Spam
666,18-05-21,Taka lor. Wat time u wan 2 come n look 4 us?,Non-Spam
667,11-02-21,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",Spam
668,29-03-21,"Haha, that was the first person I was gonna ask",Non-Spam
669,30-07-21,Oh for fuck's sake she's in like tallahassee,Non-Spam
670,03-05-21,I cant pick the phone right now. Pls send a message,Non-Spam
671,22-02-21,2 and half years i missed your friendship:-),Non-Spam
672,03-01-21,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,Spam
673,30-10-21,Convey my regards to him,Non-Spam
674,03-06-21,Send me the new number,Non-Spam
675,11-02-21,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,Non-Spam
676,18-04-21,Its worse if if uses half way then stops. Its better for him to complete it.,Non-Spam
677,16-02-21,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,Non-Spam
678,06-01-21,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",Non-Spam
679,11-06-21,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,Non-Spam
680,15-07-21,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,Spam
681,18-01-21,Or just do that 6times,Non-Spam
682,17-10-21,Poor girl can't go one day lmao,Non-Spam
683,31-01-21,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,Non-Spam
684,03-04-21,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",Non-Spam
685,02-09-21,As usual u can call me ard 10 smth.,Non-Spam
686,26-11-21,When/where do I pick you up,Non-Spam
687,13-12-21,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,Non-Spam
688,26-03-21,Yeah just open chat and click friend lists. Then make the list. Easy as pie,Non-Spam
689,28-02-21,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,Spam
690,09-01-21,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,Non-Spam
691,02-06-21,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,Spam
692,07-02-21,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",Non-Spam
693,25-04-21,Wat happened to the cruise thing,Non-Spam
694,28-05-21,Lol! Oops sorry! Have fun. ,Non-Spam
695,20-01-21,Hi dis is yijue i would be happy to work wif ü all for gek1510...,Non-Spam
696,27-04-21,Well. You know what i mean. Texting,Non-Spam
697,14-11-21,Dip's cell dead. So i m coming with him. U better respond else we shall come back.,Non-Spam
698,11-06-21,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,Non-Spam
699,17-11-21,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",Non-Spam
700,04-03-21,Okey dokey swashbuckling stuff what oh.,Non-Spam
701,10-08-21,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",Non-Spam
702,26-05-21,I'm really sorry I lit your hair on fire,Non-Spam
703,12-04-21,Sorry da..today i wont come to play..i have driving clas..,Non-Spam
704,12-12-21,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,Spam
705,10-03-21,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,Spam
706,01-12-21,Nokia phone is lovly..,Non-Spam
707,30-11-21,"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",Non-Spam
708,21-01-21,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",Non-Spam
709,15-01-21,Ok...,Non-Spam
710,14-07-21,Thanks  and ! Or bomb and date as my phone wanted to say! ,Non-Spam
711,05-09-21,yes baby! I need to stretch open your pussy!,Non-Spam
712,18-02-21,Same to u...,Non-Spam
713,05-04-21,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",Non-Spam
714,28-10-21,I'm fine. Hope you are also,Non-Spam
715,03-02-21,I liked your new house,Non-Spam
716,18-03-21,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,Non-Spam
717,11-10-21,Maybe you should find something else to do instead???,Non-Spam
718,01-12-21,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,Non-Spam
719,06-02-21,S.this will increase the chance of winning.,Non-Spam
720,02-02-21,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,Non-Spam
721,16-01-21,Pls help me tell Ashley that i cant find her number oh,Non-Spam
722,25-11-21,Missing you too.pray inshah allah,Non-Spam
723,16-04-21,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386 ,Spam
724,04-07-21,I need details about that online job.,Non-Spam
725,26-10-21,"Awesome, that gonna be soon or later tonight?",Non-Spam
726,23-05-21,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",Non-Spam
727,15-09-21,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,Spam
728,07-05-21,That's one of the issues but california is okay. No snow so its manageable,Non-Spam
729,19-12-21,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,Non-Spam
730,04-11-21,....photoshop makes my computer shut down.,Non-Spam
731,16-11-21,Yay can't wait to party together!,Non-Spam
732,05-03-21,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",Non-Spam
733,04-11-21,I hope your pee burns tonite.,Non-Spam
734,14-09-21,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",Spam
735,24-12-21,Rats. Hey did u ever vote for the next themes?,Non-Spam
736,05-11-21,Po de :-):):-):-):-). No need job aha.,Non-Spam
737,05-12-21,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",Non-Spam
738,17-03-21,"How long before you get reply, just defer admission til next semester",Non-Spam
739,20-08-21,Lol no. Just trying to make your day a little more interesting,Non-Spam
740,15-12-21,Yup but it's not giving me problems now so mayb i'll jus leave it...,Non-Spam
741,15-03-21,"Haha, just what I was thinkin",Non-Spam
742,30-10-21,I am going to sleep. I am tired of travel.,Non-Spam
743,30-05-21,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,Non-Spam
744,27-04-21,:-) :-),Non-Spam
745,04-11-21,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),Spam
746,16-02-21,Im good! I have been thinking about you...,Non-Spam
747,19-11-21,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,Spam
748,24-09-21,Got smaller capacity one? Quite ex...,Non-Spam
749,04-03-21,How's ur paper?,Non-Spam
750,22-12-21,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,Non-Spam
751,03-08-21,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,Non-Spam
752,21-10-21,Ü no home work to do meh... ,Non-Spam
753,06-08-21,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,Non-Spam
754,16-11-21,i can call in  &lt;#&gt;  min if thats ok,Non-Spam
755,28-04-21,"fyi I'm at usf now, swing by the room whenever",Non-Spam
756,18-11-21,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,Non-Spam
757,28-10-21,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",Non-Spam
758,04-02-21,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",Non-Spam
759,18-01-21,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,Non-Spam
760,18-06-21,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,Spam
761,09-08-21,Call me when u finish then i come n pick u.,Non-Spam
762,22-01-21,Sorry for the delay. Yes masters,Non-Spam
763,11-04-21,"Er, hello, things didn‘t quite go to plan – is limping slowly home followed by aa and with exhaust hanging off",Non-Spam
764,16-05-21,How do you plan to manage that,Non-Spam
765,12-07-21,Reverse is cheating. That is not mathematics.,Non-Spam
766,17-12-21,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",Non-Spam
767,24-05-21,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",Non-Spam
768,20-10-21,I dont know why she.s not getting your messages,Non-Spam
769,20-01-21,Just come home. I don't want u to be miserable,Non-Spam
770,18-07-21,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,Spam
771,04-08-21,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,Spam
772,12-10-21,Saw Guys and Dolls last night with Patrick Swayze it was great,Non-Spam
773,26-11-21,Sorry that was my uncle. I.ll keep in touch,Non-Spam
774,11-12-21,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,Non-Spam
775,24-06-21,Gd luck 4 ur exams :-),Non-Spam
776,10-12-21,Send me your resume:-),Non-Spam
777,25-06-21,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,Non-Spam
778,12-06-21,We're on the opposite side from where we dropped you off,Non-Spam
779,12-04-21,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",Non-Spam
780,25-12-21,Ü thk of wat to eat tonight.,Non-Spam
781,08-11-21,Holy living christ what is taking you so long,Non-Spam
782,24-01-21,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",Spam
783,11-03-21,Indeed and by the way it was either or - not both !,Non-Spam
784,26-04-21,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",Non-Spam
785,06-12-21,"Call me, i am senthil from hsbc.",Non-Spam
786,25-11-21,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,Non-Spam
787,27-08-21,Sen told that he is going to join his uncle finance in cbe,Non-Spam
788,19-07-21,O we cant see if we can join denis and mina? Or does denis want alone time,Non-Spam
789,16-08-21,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,Non-Spam
790,26-06-21,Sorry completely forgot * will pop em round this week if your still here?,Non-Spam
791,06-01-21,Quite lor. But dun tell him wait he get complacent...,Non-Spam
792,28-07-21,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",Non-Spam
793,05-12-21,U repeat e instructions again. Wat's e road name of ur house?,Non-Spam
794,22-03-21,Ok then u tell me wat time u coming later lor.,Non-Spam
795,17-06-21,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",Non-Spam
796,22-01-21,Hi..i got the money da:),Non-Spam
797,12-12-21,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,Non-Spam
798,15-01-21,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,Non-Spam
799,26-01-21,I'm not sure if its still available though,Non-Spam
800,21-06-21,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,Spam
801,31-03-21,Whens your radio show?,Non-Spam
802,19-08-21,if you text on your way to cup stop that should work. And that should be BUS,Non-Spam
803,18-02-21,Hi.:)technical support.providing assistance to us customer through call and email:),Non-Spam
804,26-09-21,Prepare to be pleasured :),Non-Spam
805,12-01-21,Me too! Have a lovely night xxx,Non-Spam
806,07-12-21,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),Non-Spam
807,14-12-21,I'm home. Doc gave me pain meds says everything is fine.,Non-Spam
808,14-06-21,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,Spam
809,12-11-21,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,Spam
810,23-08-21,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",Non-Spam
811,14-12-21,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,Non-Spam
812,08-04-21,U wan 2 haf lunch i'm in da canteen now.,Non-Spam
813,19-01-21,Ok lor... Or u wan me go look 4 u?,Non-Spam
814,23-04-21,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,Spam
815,11-05-21,Well boy am I glad G wasted all night at applebees for nothing,Non-Spam
816,24-10-21,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,Spam
817,29-04-21,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",Non-Spam
818,15-07-21,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,Non-Spam
819,15-05-21,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,Non-Spam
820,29-03-21,"When you just put in the + sign, choose my number and the pin will show. Right?",Non-Spam
821,16-07-21,Orh i tot u say she now still dun believe.,Non-Spam
822,28-12-21,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,Spam
823,06-01-21,Thinking of u ;) x,Non-Spam
824,07-11-21,I am in hospital da. . I will return home in evening,Non-Spam
825,08-09-21,Ya very nice. . .be ready on thursday,Non-Spam
826,20-03-21,Many more happy returns of the day. I wish you happy birthday.,Non-Spam
827,28-09-21,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",Non-Spam
828,14-07-21,We have pizza if u want,Non-Spam
829,24-10-21,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,Non-Spam
830,16-08-21,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",Non-Spam
831,25-01-21,"Not for possession, especially not first offense",Non-Spam
832,20-08-21,Oh k:)after that placement there ah?,Non-Spam
833,04-10-21,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,Spam
834,08-01-21,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,Non-Spam
835,07-02-21,Wat time r ü going to xin's hostel?,Non-Spam
836,27-05-21,K:)eng rocking in ashes:),Non-Spam
837,19-05-21,I dont know ask to my brother. Nothing problem some thing that. Just i told .,Non-Spam
838,04-08-21,I've reached already.,Non-Spam
839,26-09-21,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;,Non-Spam
840,13-07-21,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",Spam
841,27-07-21,Jason says it's cool if we pick some up from his place in like an hour,Non-Spam
842,17-11-21,"There'll be a minor shindig at my place later tonight, you interested?",Non-Spam
843,28-08-21,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",Spam
844,17-02-21,HELLO PEACH! MY CAKE TASTS LUSH!,Non-Spam
845,29-11-21,"I'm home, my love ... If your still awake ... *loving kiss*",Non-Spam
846,18-06-21,"Yup. Anything lor, if u dun wan it's ok...",Non-Spam
847,29-06-21,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..,Non-Spam
848,26-08-21,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",Non-Spam
849,09-07-21,My uncles in Atlanta. Wish you guys a great semester.,Non-Spam
850,06-08-21,"K will do, addie &amp; I are doing some art so I'll be here when you get home",Non-Spam
851,09-05-21,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",Non-Spam
852,02-02-21,S:)8 min to go for lunch:),Non-Spam
853,10-10-21,Oops i thk i dun haf enuff... I go check then tell ü..,Non-Spam
854,09-07-21,Big brother‘s really scraped the barrel with this shower of social misfits,Non-Spam
855,09-11-21,Thats cool princess! I will cover your face in hot sticky cum :),Non-Spam
856,29-08-21,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,Non-Spam
857,11-11-21,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),Non-Spam
858,23-07-21,"Haha awesome, I might need to take you up on that, what you doin tonight?",Non-Spam
859,24-05-21,"Did you say bold, then torch later. Or one torch and 2bold?",Non-Spam
860,27-06-21,Wif my family booking tour package.,Non-Spam
861,26-01-21,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,Non-Spam
862,25-06-21,Hey anyway i have to :-),Non-Spam
863,23-09-21,Yar but they say got some error.,Non-Spam
864,17-01-21,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,Non-Spam
865,10-10-21,Anytime...,Non-Spam
866,17-06-21,I liked the new mobile,Non-Spam
867,19-05-21,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",Spam
868,09-01-21,Yes fine ,Non-Spam
869,27-06-21,Don no da:)whats you plan?,Non-Spam
870,29-03-21,"Okey dokey, i‘ll be over in a bit just sorting some stuff out.",Non-Spam
871,14-12-21,A guy who gets used but is too dumb to realize it.,Non-Spam
